Designator,Mid X,Mid Y,Rotation,Layer
_3,175.5,-150.0,0.0,top
_2,175.5,-30.0,0.0,top
,30.0,-150.0,0.0,top
C1,104.74,-46.15,270.0,top
C10,70.77,-62.585,180.0,top
C100,59.42,-50.31,90.0,top
C101,167.02,-55.73,180.0,top
C102,91.7,-45.34,180.0,top
C103,95.947,-31.190998,0.0,top
C104,73.83,-49.88,270.0,top
C105,167.02,-62.45,180.0,top
C106,61.54,-46.39,180.0,top
C107,170.65,-55.73,180.0,top
C108,170.65,-62.45,180.0,top
C109,67.21,-63.21,270.0,top
C11,70.92,-73.185,180.0,top
C110,67.27,-73.89,270.0,top
C111,60.6,-80.235,270.0,top
C112,65.14,-65.285,90.0,top
C113,63.13,-65.285,90.0,top
C114,109.41,-43.345,90.0,bottom
C115,112.05,-46.35,0.0,bottom
C116,112.125,-40.88,180.0,bottom
C117,65.15,-56.065,90.0,top
C118,63.13,-56.065,90.0,top
C119,74.79,-74.105,180.0,top
C12,73.88,-60.36,270.0,top
C120,74.68,-63.135,180.0,top
C121,45.75,-133.06,180.0,bottom
C122,58.08,-134.34,90.0,bottom
C123,45.7,-129.12,180.0,bottom
C124,73.75,-133.06,180.0,bottom
C125,45.7,-127.12,180.0,bottom
C126,88.07,-134.34,270.0,bottom
C127,44.73,-124.45,180.0,bottom
C128,73.74,-135.07,0.0,bottom
C129,60.07,-134.34,270.0,bottom
C13,73.81,-71.315,270.0,top
C130,43.52,-109.26,180.0,bottom
C131,45.74,-135.07,0.0,bottom
C132,54.84,-128.29,270.0,bottom
C133,77.75,-123.16,0.0,bottom
C134,82.5,-128.32,270.0,bottom
C135,50.85,-128.29,270.0,bottom
C136,62.81,-126.99,270.0,bottom
C137,78.48,-128.31,270.0,bottom
C138,60.79,-126.99,270.0,bottom
C139,52.85,-128.29,270.0,bottom
C14,64.12,-60.02,90.0,top
C140,80.49,-128.31,270.0,bottom
C141,73.7,-129.12,0.0,bottom
C142,67.81,-128.6,270.0,bottom
C143,64.83,-126.99,90.0,bottom
C144,92.81,-126.99,270.0,bottom
C145,90.81,-126.99,270.0,bottom
C146,118.24,-127.12,0.0,bottom
C147,86.77,-126.99,270.0,bottom
C148,118.29,-133.06,180.0,bottom
C149,130.62,-134.34,90.0,bottom
C15,150.97,-103.74,90.0,bottom
C150,146.29,-133.06,180.0,bottom
C151,118.24,-129.12,180.0,bottom
C152,158.62,-134.34,90.0,bottom
C153,88.79,-126.99,90.0,bottom
C154,146.28,-135.07,0.0,bottom
C155,117.27,-124.45,180.0,bottom
C156,132.61,-134.34,270.0,bottom
C157,118.28,-135.07,0.0,bottom
C158,122.29,-123.16,180.0,bottom
C159,160.61,-134.34,270.0,bottom
C16,64.31,-70.54,90.0,top
C160,127.14,-128.35,270.0,bottom
